지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),합계 일조시간(hr),최심적설(cm),최심신적설(cm)
98,동두천,2018-09,19.8,26.2,14.8,31.5,7.5,20180901,20180925,1000.4,1013.8,69,56.5,1.3,4.8,210,,
98,동두천,2018-10,11.4,18.6,5.5,25.6,-1.4,20181004,20181030,1005.6,1019.5,65,107.9,1.4,3.8,230.7,,
98,동두천,2018-11,6.4,13.5,1.2,20.8,-5.7,20181103,20181123,1010,1024.3,62,61.5,1.2,4.2,166.6,,
98,동두천,2018-12,-2,4.6,-7.3,12.6,-15.5,20181222,20181228,1013.6,1028.4,48,11,1.5,3.7,198.7,,
98,동두천,2019-01,-2.4,4.9,-8.3,9.8,-13,20190113,20190102,1012.1,1026.9,46,.4,1.4,3.4,212.7,,
98,동두천,2019-02,-.3,6.3,-6,14.4,-11.3,20190223,20190201,1010.6,1025.2,54,26.7,1.4,4.7,202,,
98,동두천,2019-03,5.7,12.9,-.4,18.5,-5.2,20190326,20190314,1003.6,1017.9,62,32.5,1.8,4.6,221.6,,
98,동두천,2019-04,11,18.3,4.4,28.4,-3.6,20190422,20190401,1001.8,1015.7,60,34.8,1.6,4.9,219.2,,
98,동두천,2019-05,18.3,26.2,10.8,32.8,4.5,20190524,20190507,998.4,1011.9,57,34.5,1.8,3.9,323,,
98,동두천,2019-06,21.1,27.3,15.8,31.8,11.6,20190625,20190602,994.3,1007.6,75,63.2,1.3,5.6,237.8,,
98,동두천,2019-07,24.6,29.5,21,35.8,16.5,20190706,20190709,993.4,1006.4,82,329.8,1.4,6.5,151.8,,
98,동두천,2019-08,25.4,30.5,21.2,35.3,16.3,20190806,20190831,994.1,1007.1,83,135.2,1.1,5.5,249.4,,
98,동두천,2019-09,20.8,26.2,16.5,29.9,9.6,20190909,20190919,1002,1015.4,81,247.5,1.1,6.9,179.5,,
98,동두천,2019-10,14.4,21,8.8,27.9,1.1,20191001,20191027,1006,1019.7,79,38.2,1.1,4.7,223.8,,
98,동두천,2019-11,5.7,12.8,.3,19.7,-6.6,20191103,20191120,1009.4,1023.7,71,58.1,1.2,4.5,194.5,,
99,파주,2015-11,7.4,12.4,3.3,19.6,-8.5,20151112,20151127,1020.2,1023.8,76,111.6,1.6,,99.3,,
99,파주,2015-12,-.2,5.8,-5.4,11.1,-14.7,20151209,20151228,1022.1,1025.8,66,21.2,1.3,,183.3,,
99,파주,2016-01,-5,1.2,-10.9,11.3,-20,20160102,20160124,1022,1025.8,58,1,1.5,,203.1,,
99,파주,2016-02,-1.2,5.4,-7.5,15.5,-16.4,20160213,20160202,1020.6,1024.4,55,65.9,1.8,,199.7,,
99,파주,2016-03,5.4,12.5,-1.1,21.6,-10.5,20160331,20160301,1018,1021.7,58,57.4,1.7,,250.6,,
99,파주,2016-04,12.6,20.4,6.2,28.1,.2,20160426,20160405,1010,1013.6,60,89.3,2,,220.5,,
99,파주,2016-05,17.4,24.8,11.2,30.6,7,20160520,20160505,1008,1011.5,67,157.7,1.9,,264.3,,
99,파주,2016-06,21.5,28,16.4,31,12.3,20160629,20160603,1004.2,1007.6,73,28.6,1.5,,239.8,,
99,파주,2016-07,24.4,29.4,20.8,32.9,16.9,20160722,20160706,1004.3,1007.7,83,377.9,1.5,,174.5,,
99,파주,2016-08,26,31.8,21.6,35,11.5,20160811,20160827,1002.6,1005.9,78,31.9,1.4,,253.7,,
99,파주,2016-09,21.1,27.7,16.4,30.5,9.3,20160905,20160921,1010.1,1013.5,76,26.4,1.4,,221,,
99,파주,2016-10,13.7,20.8,8.1,28.4,-3.7,20161003,20161030,1016.1,1019.6,75,249.9,1.3,,192.8,,
99,파주,2016-11,4.7,11.1,-.7,20.2,-10.3,20161105,20161124,1019.8,1023.5,67,15.8,1.4,,166.9,,
